Ticker,Description,Price,Change %,Change from Open %,Pre-market Change %,Pre-market Volume,Average Volume (60 day),Volume,Relative Volume,Industry,Market Capitalization,Shares Float,Volatility,Relative Volume at Time
GS,"Goldman Sachs Group, Inc. (The)",380.65,0.0210211,-0.35340314,0.23911501,278,2197196.48333333,1538183,0.58667287,Investment Banks/Brokers,124134704870.99998,324340885.728,1.07524841,0.33640179
NEE,"NextEra Energy, Inc.",59.75,0.25167785,-0.35023349,0.62080537,3428,15750213.73333333,9799434,0.73113655,Electric Utilities,122589538879,2042079273.26,2.12837272,0.60031627
RTX,RTX Corporation,83.23,1.48762346,1.3887197,0.36580905,200,10265025.90000004,9769464,1.09854438,Aerospace & Defense,119676525458,1436752555.8,2.25499756,0.6167152
ISRG,"Intuitive Surgical, Inc.",336.26,0.84270505,0.52014827,-0.51881841,1618,1946914.86666667,1025099,0.52546132,Medical Specialties,118387597717,349682487.336,1.08258862,0.38884325
T,AT&T Inc.,16.55,0.36385688,0.3030303,0.06064281,39166,37994313.81666666,26740353,0.61598739,Wireless Telecommunications,118332825868,7144335734.1,1.45454545,0.56222
TD,Toronto Dominion Bank (The),64.18,0.59561129,0.56408649,0,5970,3234976.98333333,1931702,0.49397797,Major Banks,114973490985.4199,1788709581.54,1.33187089,0.43679851
SYK,Stryker Corporation,297.5,0.49657129,-0.04031987,,,1613476.26666667,1068707,0.6853404,Medical Specialties,113031605988,355263306.528,1.42405601,0.47972956
DE,Deere & Company,396.82,0.88473077,0.8949911,,,1693513.65,1077338,0.4720305,Trucks/Construction/Farm Machinery,111210962630,260575493.90000004,1.185449,0.38164702
LMT,Lockheed Martin Corporation,448.22,0.04464086,-0.39555556,,,1374483.43333333,623775,0.45225814,Aerospace & Defense,111202810538,247946915.313,0.83015331,0.3159705
ELV,"Elevance Health, Inc.",466.59,0.53868862,0.24277059,,,1139190.28333333,613383,0.42352801,Managed Health Care,109629582855,233997782.731,0.94929881,0.31596985
MDT,Medtronic plc.,81.92,-0.04880429,-0.40121581,0.35383114,387,7135027.41666667,3426685,0.47802592,Medical Specialties,108925277565,1328648773.55,1.47179479,0.39703472
SBUX,Starbucks Corporation,95.28,-0.05244939,0.41100221,-0.14685828,24815,7810020.48333333,6361013,0.79171447,Restaurants,108304769960,1106672932.8,1.57939368,0.62473648
BMY,Bristol-Myers Squibb Company,52.29,2.00936403,2.8116398,-1.0339446,142185,14315875.03333333,19998059,1.11251429,Pharmaceuticals: Major,106397481495,2033323459.44,5.15139599,1.27251087
TJX,"TJX Companies, Inc. (The)",91.85,0.51433574,0.305777,0.2407529,2144,5329962.45,3463203,0.62108807,Apparel/Footwear Retail,104679319677.99998,1137972759.3600001,0.73936141,0.47380083
VRTX,Vertex Pharmaceuticals Incorporated,405.25,1.15318374,0.41130851,0.35444175,100,1456586.23333333,804290,0.36170725,Pharmaceuticals: Major,104426115592.99998,256972825.652,1.56083012,0.17542298
LRCX,Lam Research Corporation,779.99,0.39515008,0.39515008,0.16475313,1245,1001452.41666667,525139,0.44405493,Industrial Machinery,102796446601,131125264.27200001,1.35467025,0.32584249
CVS,CVS Health Corporation,78.76,0.17807174,-0.35425101,0.49605698,7460,7561489.71666667,6079423,0.63611081,Drugstore Chains,101355979473,1284726425.9,1.03369066,0.47877497
GILD,"Gilead Sciences, Inc.",79.66,0.92487014,0.58715828,0.08868618,1050,6327166.1,4109738,0.50276403,Biotechnology,99259699937,1245012017,1.35169277,0.52641571
UBS,UBS Group AG Registered,30.89,0.71731334,0.42262679,0.35865667,243542,3174918.28333333,4259050,0.84362249,Investment Managers,99009682875.9089,2839665571.10438,1.49715216,0.65142974
SHOP,Shopify Inc.,76.83,0.90622537,0.4970569,0.34147623,45632,11609781.33333334,6078077,0.63977497,Packaged Software,98710657558,1161127840.8,1.35250476,0.48766096
ADI,"Analog Devices, Inc.",197.1,0.41777053,-0.26313126,0.90686774,2393,3279472.33333333,1754596,0.47700099,Semiconductors,97813181780,494380670.758,1.9056864,0.38452626
C,"Citigroup, Inc.",50.86,0.51383399,0.25625862,0.23715415,151585,18993248.16666667,14439137,0.62621475,Major Banks,97340031344,1908953672.88,1.30203196,0.45737921
MDLZ,"Mondelez International, Inc.",71.21,1.06443372,0.53649584,0.46835084,1700,7003183,4108979,0.57293928,Food: Specialty/Candy,96909376558.00002,1358825988.3999999,1.56890459,0.43331947
MU,"Micron Technology, Inc.",86.49,1.18156294,0.39466048,0.78380908,294722,13709321.55,22531844,1.13154332,Semiconductors,95461930946.99998,1096552443.8100002,2.34758234,1.00943628
ETN,"Eaton Corporation, PLC",238.64,0.5689241,0.31105507,,,1932836.18333333,743080,0.42317253,Electrical Products,95288948843,397891269.6,0.83017278,0.34795484
ADP,"Automatic Data Processing, Inc.",230.97,0.86466658,0.86466658,-0.17031311,100,1747737.55,1231856,0.58254142,Data Processing Services,94999065320,409188424.47,1.36980306,0.46270717
PANW,"Palo Alto Networks, Inc.",298.21,-0.39746159,-0.70589019,0.2738811,6455,4177825.76666667,2391396,0.52494401,Packaged Software,94025606666,310755581.09999996,1.09243697,0.39133509
MMC,"Marsh & McLennan Companies, Inc.",187.9,0.57809656,0.45442395,,,1698119.13333333,1642833,0.79900602,Insurance Brokers/Services,92648310106.99998,492483765.104,0.96390742,0.50638995
PGR,Progressive Corporation (The),157.76,0.81799591,0.53530461,-4.14110429,110,2499966.58333333,1006030,0.33556235,Multi-Line Insurance,92296057782,583362517.3709999,1.17684682,0.20628827
ABNB,"Airbnb, Inc.",140.8,-0.90787529,-0.76120665,-0.11260469,4375,5465435.21666667,2937341,0.50143964,Other Consumer Services,91414269522,413262937.252,1.98955128,0.35985308
CB,Chubb Limited,220.77,0.3408781,-0.02717022,0.27724752,1200,1964567.16666667,1004514,0.38920786,Property/Casualty Insurance,90071931675,405556339.65,0.77653149,0.29487533
ZTS,Zoetis Inc.,194.98,0.16438919,-0.17407332,,,1962127.08333333,1548412,0.67686523,Pharmaceuticals: Major,89517982971,458791701.972,1.64470271,0.58492075
CI,The Cigna Group,298.09,0.2859642,0.2286406,0,500,2027468.54999998,1167473,0.38780779,Managed Health Care,87227084176,287131911.9,0.86950231,0.34606176
BSX,Boston Scientific Corporation,55.9,0.4492363,0.08952551,1.23989218,2800,7536281.16666667,5404295,0.88202846,Medical Distributors,81892540089,1458726000.3799999,0.77338129,0.64131825
CNI,Canadian National Railway Company,124.96,1.09214465,0.77419355,,,1212813.68333333,701284,0.71970883,Railroads,80936592630.57016,627666639,1.42943548,0.56859793
FI,"Fiserv, Inc.",133.61,0.30027776,-0.29104478,,,3008518.3,2360064,0.62790722,Regional Banks,80190807594.00002,595769231.226,0.80776743,0.55258655
SHW,Sherwin-Williams Company (The),311.27,1.41400319,1.15693348,,,1539802.26666668,1347928,0.79784155,Industrial Specialties,79674563569,235544520.588,1.68207205,0.46208301
ITW,Illinois Tool Works Inc.,261.91,0.54512649,0.26798361,,,1101022.4,496909,0.43727924,Industrial Machinery,78805017810.00002,299914138.21999997,1.04972799,0.41816461
CME,CME Group Inc.,214.31,0.25260794,0.08406108,0.96458811,100,1695437.78333333,1224958,0.53127915,Investment Banks/Brokers,77150093731.99998,358763514.07,1.41812281,0.3594904
ENB,Enbridge Inc,36.06,0.69812901,0.36181464,0.41887741,3188,5840590.75,3414457,0.67932458,Oil & Gas Pipelines,76648214642.86952,2122137204.45,1.14301645,0.48941183
SLB,Schlumberger N.V.,53.08,0.95093191,0.16984337,0.91289464,6074,8761003.08333333,5115638,0.4513025,Contract Drilling,75822599027.00002,1425785922.88,1.61198559,0.38207157
SO,Southern Company (The),69.44,0.10090817,-0.51575931,0.18740089,3100,4674758.9,3013477,0.56931176,Electric Utilities,75732612741,1088420219.46,1.25486802,0.44712445
CDNS,"Cadence Design Systems, Inc.",275.82,0.09072105,-0.06159643,0.15241137,912,1415246.45,1845919,1.13830726,Packaged Software,75040146065,269434969.328,2.86978179,1.02997202
DUK,Duke Energy Corporation (Holding Company),96.86,0.51888751,0.02065262,,,3532932.1,1927521,0.42571366,Electric Utilities,74651138731,769765565.6639999,1.37043189,0.32026988
ANET,"Arista Networks, Inc.",238.26,1.24075805,-0.0125897,1.35973485,1244,2125778.81666667,1021621,0.50499795,Computer Peripherals,74122722101,253399038.60000005,1.95613515,0.44253466
CP,Canadian Pacific Kansas City Limited,79.47,0.44236603,-0.15077271,,,2453306.83333333,2273585,0.90246334,Railroads,74049410332.1646,931556188.668,1.68184117,0.77817369
STLA,Stellantis N.V.,23.33,-0.38428693,-0.63884157,0.29888984,12055,6653836.03333332,3781517,0.71409582,Motor Vehicles,73357193561.80637,2145184836.8281295,1.20171674,0.56317601
KKR,KKR & Co. Inc.,81.92,0.0855223,0.36755697,-0.21991448,395,3693842.26666667,4140276,0.91139366,Investment Managers,72499908380,667795931.076,1.63054734,0.70791148
HCA,"HCA Healthcare, Inc.",269.99,0.46139535,0.0778412,,,1418301.2,569537,0.37595251,Hospital/Nursing Management,72265744240,194775571.395,1.08578038,0.40345232
ICE,Intercontinental Exchange Inc.,125.72,1.19938823,0.6484669,,,2626986.05,2237027,0.68390038,Investment Banks/Brokers,71957589150.99998,566729076.42,1.35156879,0.56594543
WDAY,"Workday, Inc.",272.57,-0.12092342,-0.52552827,0.4067424,200,1880405.75,1178360,0.58311144,Information Technology Services,71685911926,205476469,1.65112594,0.47190936
MO,"Altria Group, Inc.",40.36,0.1240387,-0.14844137,0.29769288,27083,9043568.88333329,7587345,0.63889585,Tobacco,71382578116,1766585985.45,0.9561654,0.58401369
EOG,"EOG Resources, Inc.",122.27,0.98282128,0.04909582,0.53683515,540,3250604.78333333,1742029,0.39381002,Oil & Gas Production,71301699288,580913036.6,1.58562803,0.32739246
WM,"Waste Management, Inc.",176.95,0.07918104,-0.27614968,0.76918726,583,1589482.15,1291147,0.72391853,Environmental Services,71271114942,401872381.225,0.59426114,0.4859156
CNQ,Canadian Natural Resources Limited,65.24,0.53937433,-0.42735043,1.09415935,1174,3376126.36666667,2891466,0.79206112,Oil & Gas Production,70616759889.81126,1058306929.66,1.34843581,0.6810989
BDX,"Becton, Dickinson and Company",243,-0.05346934,-0.45879076,,,1536136.46666667,1974939,1.07995194,Medical Specialties,70358763428.00002,289072362.876,1.15847625,1.02730088
GD,General Dynamics Corporation,254.1,0.66156954,0.28811619,,,1218989.73333333,650642,0.58185941,Aerospace & Defense,69343099154,271265894.631,1.12052582,0.37820716
CSX,CSX Corporation,34.63,0.49332559,0.23154848,0,2652,12939638.1,6262838,0.42781087,Railroads,68433417998.00001,1971669874.59,1.01361135,0.33548528
USB,U.S. Bancorp,43.51,0.46178712,0.36908881,0.46178712,7058,11482950.11666667,6899098,0.49121714,Major Banks,67745603826.00002,1553612604.18,1.42344636,0.33555311
LULU,lululemon athletica inc.,510,-0.20155372,1.47234381,-1.76701955,12917,2231237.03333333,1179499,0.51168111,Internet Retail,66966463386.99999,110097977.275,1.7542113,0.58088068
PYPL,"PayPal Holdings, Inc.",61.84,-0.35449565,-0.53080264,0.19336126,112604,15833935.01666667,13175342,0.74933959,Miscellaneous Commercial Services,66672193767.99999,1068867996,1.86748944,0.59956502
MAR,Marriott International,222.62,0.35160476,0.15746614,0.26144969,833,1584621.21666667,994960,0.55050177,Hotels/Resorts/Cruise lines,65381565838,247222916.289,1.01183874,0.46794775
TGT,Target Corporation,140.2,0.59553706,0.54503729,0.05022602,3678,4940693.9,3223130,0.86419154,Specialty Stores,64724983540,460505075.028,1.29120681,0.59945278
CL,Colgate-Palmolive Company,78.5,0.75728405,0.46071154,0.11551791,221,4743460.4,4042531,0.76401996,Household/Personal Care,64634721893.00001,822312320.2360001,1.03231598,0.43971123
SNOW,Snowflake Inc.,195.67,-0.56913461,-0.68520962,0.3099751,23653,4631381.35,2448745,0.49129562,Packaged Software,64434128008.00001,301145179.3,2.01978362,0.38345665
TEAM,Atlassian Corporation,240.8,-1.72631923,-2.6874116,,,1605178.65,1865192,0.8485553,Packaged Software,62390605672,153683950.829,3.91787136,0.70645121
BN,Brookfield Corporation,40.05,0.42627884,0.6281407,0.1003009,1844,2995471.06666667,1986470,0.85809203,Investment Managers,62294015115.05084,1266478412.16,1.8401815,0.53938134
FDX,FedEx Corporation,248.03,0.27086028,0.32764339,-0.04042691,23126,2133561.73333333,3347152,0.72678557,Air Freight/Couriers,61980848277.99999,229132389.346,1.45210494,0.5055035
CRWD,"CrowdStrike Holdings, Inc.",255.63,-0.65676978,-0.52146165,-0.2331727,19997,3218848.25,1801749,0.57781912,Packaged Software,61391644759.00001,221910959.52,1.40290038,0.48161961
FCX,"Freeport-McMoRan, Inc.",42.38,0.35519773,-0.35269222,0.0473597,18451,11614464.58333334,6984632,0.44735735,Other Metals/Minerals,60771959290,1410792543.4,1.75771971,0.37360955
PNC,"PNC Financial Services Group, Inc. (The)",152.47,0.46122422,0.44798735,,,2316557.35,1202080,0.43375698,Major Banks,60735071889.00001,396809777.196,1.27342307,0.29691388
APD,"Air Products and Chemicals, Inc.",272.84,0.4047987,0.03299725,,,1204403.93333333,756207,0.55510529,Chemicals: Specialty,60632714982.99999,218712575.268,0.94804145,0.37106115
APH,Amphenol Corporation,99.01,0.7325262,0.19226877,0.3255672,500,2841886.80000002,2032767,0.55544286,Electronic Components,59238698308.99999,594777577.76,1.03427297,0.42993158
NXPI,NXP Semiconductors N.V.,228.95,-0.1308615,-0.84452144,,,2236514.05,1033647,0.39954532,Semiconductors,59014908044.99999,257391821.28,1.92299249,0.31656411
PSX,Phillips 66,134.06,-0.17127113,-1.15756101,0.77444337,2023,3210587.23333333,1402176,0.3506345,Oil Refining/Marketing,58980442157.99999,438696845.928,1.41502389,0.30706875
MMM,3M Company,106.33,0.72944297,0.42500944,0.19893899,2334,3635428.31666667,2281685,0.50119599,Industrial Conglomerates,58727875876,551772967.755,1.74468085,0.47281426
MNST,Monster Beverage Corporation,56.01,1.1375948,0.64690027,0.54171181,1139,5982632.25,3942673,0.75062999,Beverages: Non-Alcoholic,58275121418.00001,747830816.1600001,1.74711816,0.64983202
BNS,Bank Nova Scotia Halifax Pfd 3,47.75,0.78092022,0.33620509,-0.10552976,596,1897517.63333333,1309250,0.56032514,Major Banks,57970621424.96447,1213594447.32,1.1667017,0.53091084
MPC,Marathon Petroleum Corporation,150.87,-1.17254029,-1.93695158,1.03393161,720,3153201.38333333,2121418,0.53779364,Oil Refining/Marketing,57284929214.99999,378857489.933,2.25494097,0.55314925
EPD,Enterprise Products Partners L.P.,26.08,-0.22953328,-0.4959939,0.30566182,16511,4637251.1,3617234,0.7120101,Oil & Gas Pipelines,56642601709.00001,1428897227.04,0.76775432,0.63164712
CHTR,"Charter Communications, Inc.",382.09,-0.37026414,-0.25843166,0.03911241,325,1030046.46666667,424619,0.39341662,Cable/Satellite TV,56518862715.00001,101271800.88,2.36047817,0.32306236
